id,player_name,p_code,nationality,c_code,player_url,created_at,updated_at,gender
868,Royce Deppe,rdepp,RSA,ZAF,/profile-bio/men/Royce_Deppe/,,,M
869,Luis Herrera,lherr,MEX,MEX,/profile-bio/men/Luis_Herrera/,,,M
870,Gustavo Carbonari,gcarb,ARG,ARG,/profile-bio/men/Gustavo_Carbonari/,,,M
874,Jae-Sik Kim,jskim,KOR,XXX,/profile-bio/men/Jae-Sik_Kim/,,,M
875,Sylvano Simone,ssimo,ITA,ITA,/profile-bio/men/Sylvano_Simone/,,,M
876,Roberto Teofilo,rteof,BRA,BRA,/profile-bio/men/Roberto_Teofilo/,,,M
877,Edoardo Mazza,emazz,ITA,ITA,/profile-bio/men/Edoardo_Mazza/,,,M
878,Simone Restelli,srest,ITA,ITA,/profile-bio/men/Simone_Restelli/,,,M
879,Ciro Nishiyama,cnish,BRA,BRA,/profile-bio/men/Ciro_Nishiyama/,,,M
880,Xochitl Escobedo,xesco,Mexico,MEX,/profile-bio/women/Xochitl_Escobedo/,,,F
882,Mike Wolf,mwolf,USA,USA,/profile-bio/men/Mike_Wolf/,,,M
884,Lukas Hovorka,lhovo,CZE,CZE,/profile-bio/men/Lukas_Hovorka/,,,M
885,Norbert Odour,nodou,KEN,KEN,/profile-bio/men/Norbert_Odour/,,,M
886,Lech Sidor,lsido,POL,POL,/profile-bio/men/Lech_Sidor/,,,M
887,David Lewis,dlewi,NZL,NZL,/profile-bio/men/David_Lewis/,,,M
888,Radek Zahraj,rzahr,CZE,CZE,/profile-bio/men/Radek_Zahraj/,,,M
890,Carmela Vitali,cvita,Italy,ITA,/profile-bio/women/Carmela_Vitali/,,,F
891,Ruben Alvarenga,ralva,PAR,PRY,/profile-bio/men/Ruben_Alvarenga/,,,M
893,Juan Farrow,jfarr,USA,USA,/profile-bio/men/Juan_Farrow/,,,M
894,Adam Malik,amali,MAS,MYS,/profile-bio/men/Adam_Malik/,,,M
895,Warren Green,wgree,RSA,ZAF,/profile-bio/men/Warren_Green/,,,M
896,Caroline Wuillot,cwuil,Belgium,BEL,/profile-bio/women/Caroline_Wuillot/,,,F
897,Johnny Goudenbour,jgoud,LUX,LUX,/profile-bio/men/Johnny_Goudenbour/,,,M
898,Johan De Beer,jdebe,RSA,ZAF,/profile-bio/men/Johan_De_Beer/,,,M
900,Fermin Novillo,fnovi,ESP,ESP,/profile-bio/men/Fermin_Novillo/,,,M
902,Jin-Soo Lee,jslee,KOR,XXX,/profile-bio/men/Jin-Soo_Lee/,,,M
903,Greg Muller,gmull,RSA,ZAF,/profile-bio/men/Greg_Muller/,,,M
904,Miriam Ponce De Leon,mponc,Sweden,SWE,/profile-bio/women/Miriam_Ponce_De_Leon/,,,F
905,Evica Koljanin,ekolj,XXX,XXX,/profile-bio/women/Evica_Koljanin/,,,F
906,Renata Kochta,rkoch,Germany,DEU,/profile-bio/women/Renata_Kochta/,,,F
907,Chip Tolleson,ctoll,USA,USA,/profile-bio/men/Chip_Tolleson/,,,M
908,Tsuyoshi Fukui,tfuku,JPN,JPN,/profile-bio/men/Tsuyoshi_Fukui/,,,M
909,Carlos Engel,cenge,BRA,BRA,/profile-bio/men/Carlos_Engel/,,,M
910,Manuel Bonati,mbona,ITA,ITA,/profile-bio/men/Manuel_Bonati/,,,M
911,Boaz Merenstein,bmere,ISR,ISR,/profile-bio/men/Boaz_Merenstein/,,,M
912,Markus Hintermeier,mhint,GER,DEU,/profile-bio/men/Markus_Hintermeier/,,,M
913,Maja Palaversic Coopersmith,mpcoo,Croatia,HRV,/profile-bio/women/Maja_Palaversic_Coopersmith/,,,F
914,Klara Blahova,kblah,Czech Republic,CZE,/profile-bio/women/Klara_Blahova/,,,F
915,Maria Vento-Kabchi,mvent,Venezuela,XXX,/profile-bio/women/Maria_Vento-Kabchi/,,,F
916,Gorana Matic,gmati,Croatia,HRV,/profile-bio/women/Gorana_Matic/,,,F
917,Dan Goldberg,dgold_2,USA,USA,/profile-bio/men/Dan_Goldberg/,,,M
918,Wendy Prausa,wprau,United States,USA,/profile-bio/women/Wendy_Prausa/,,,F
919,Jose Tort,jtort,CHI,CHL,/profile-bio/men/Jose_Tort/,,,M
920,Fabio Rizzo,frizz,ITA,ITA,/profile-bio/men/Fabio_Rizzo/,,,M
921,Birgit Arming,barmi,Austria,AUT,/profile-bio/women/Birgit_Arming/,,,F
924,Michel Van Der Sanden,mvdsa,NED,NLD,/profile-bio/men/Michel_Van_Der_Sanden/,,,M
925,Herbert Sandberg,hsand,GER,DEU,/profile-bio/men/Herbert_Sandberg/,,,M
926,Mark Farren,mfarr,USA,USA,/profile-bio/men/Mark_Farren/,,,M
927,Miyako Ataka,matak,Japan,JPN,/profile-bio/women/Miyako_Ataka/,,,F
929,Glen Eaton,geato,AUS,AUS,/profile-bio/men/Glen_Eaton/,,,M
931,Galia Angelova,gange,Bulgaria,BGR,/profile-bio/women/Galia_Angelova/,,,F
934,Miles Walker,mwalk,USA,USA,/profile-bio/men/Miles_Walker/,,,M
936,Kerstin Taube,ktaub,Germany,DEU,/profile-bio/women/Kerstin_Taube/,,,F
937,Ivona Matulikova,imatu,Germany,DEU,/profile-bio/women/Ivona_Matulikova/,,,F
938,Miloslav Mecir Sr.,mmeci1,SVK,SVK,/profile-bio/men/Miloslav_Mecir_Sr./,,,M
939,Eva Jimenez Sanz,ejime,Spain,ESP,/profile-bio/women/Eva_Jimenez_Sanz/,,,F
940,Catherine Bonnet,cbonn,France,FRA,/profile-bio/women/Catherine_Bonnet/,,,F
941,Alexander Lindholm,alind,FIN,FIN,/profile-bio/men/Alexander_Lindholm/,,,M
942,Kylie Johnson,kjohn,United States,USA,/profile-bio/women/Kylie_Johnson/,,,F
943,Andrei Merinov,ameri_2,RUS,RUS,/profile-bio/men/Andrei_Merinov/,,,M
944,Jonas Gustafsson,jgust,SWE,SWE,/profile-bio/men/Jonas_Gustafsson/,,,M
945,Eduardo Mandarino,emand,ESP,ESP,/profile-bio/men/Eduardo_Mandarino/,,,M
946,Ola Jonsson,ojons,SWE,SWE,/profile-bio/men/Ola_Jonsson/,,,M
947,Samuel Constantino,scons_2,MEX,MEX,/profile-bio/men/Samuel_Constantino/,,,M
948,Torsten Park,tpark,GER,DEU,/profile-bio/men/Torsten_Park/,,,M
949,Paula Astrini,pastr,Brazil,BRA,/profile-bio/women/Paula_Astrini/,,,F
951,Aurel Damian,adami,ROU,ROM,/profile-bio/men/Aurel_Damian/,,,M
952,Johan Kjellsten,jkjel,SWE,SWE,/profile-bio/men/Johan_Kjellsten/,,,M
955,Colin Grant,cgran,HKG,HKG,/profile-bio/men/Colin_Grant/,,,M
956,Ilse De Ruysscher,ideru,Belgium,BEL,/profile-bio/women/Ilse_De_Ruysscher/,,,F
